"","downloaded","city","checkin","hotel_name","rating","stars","price_HUF","dist_center_km","dist_other_km","price_EUR","pricecat","price_avg","price_Sd","hotels","citytype"
"48","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Dorint Airport Hotel Amsterdam",4,4,39039,9.3,"Schiphol repülőtér. Amsterdam (AMS): 3.2",125.932258064516,"avg",175.168028673835,137.256432680785,180,"big"
"49","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","DoubleTree by Hilton Hotel Amsterdam - NDSM Wharf",4.4,4,124611,3.1,"Schiphol repülőtér. Amsterdam (AMS): 14",401.970967741936,"above avg",175.168028673835,137.256432680785,180,"big"
"50","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Dream Hotel Amsterdam",4.2,3,163962,0.9,"Schiphol repülőtér. Amsterdam (AMS): 11",528.909677419355,"above avg",175.168028673835,137.256432680785,180,"big"
"51","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Economy Hotel",3.1,2,17318,36,"Schiphol repülőtér. Amsterdam (AMS): 35",55.8645161290323,"below avg",175.168028673835,137.256432680785,180,"big"
"52","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Eye Hotel",4.7,4,30919,35,"Schiphol repülőtér. Amsterdam (AMS): 34",99.7387096774194,"avg",175.168028673835,137.256432680785,180,"big"
"53","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Fletcher Badhotel Egmond aan Zee",3.1,3,156154,33,"Schiphol repülőtér. Amsterdam (AMS): 36",503.722580645161,"above avg",175.168028673835,137.256432680785,180,"big"
"54","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Fletcher Hotel Amsterdam",4,4,90303,9.6,"Schiphol repülőtér. Amsterdam (AMS): 13",291.3,"above avg",175.168028673835,137.256432680785,180,"big"
"55","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Golden Tulip Leiden Centre",4.1,4,27827,36,"Schiphol repülőtér. Amsterdam (AMS): 24",89.7645161290323,"avg",175.168028673835,137.256432680785,180,"big"
"56","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Golden Tulip Noordwijk Beach",3.4,4,26702,35,"Schiphol repülőtér. Amsterdam (AMS): 23",86.1354838709677,"avg",175.168028673835,137.256432680785,180,"big"
"57","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Grand Hotel Alkmaar",4,4,35134,31,"Schiphol repülőtér. Amsterdam (AMS): 36",113.335483870968,"avg",175.168028673835,137.256432680785,180,"big"
"58","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Grand Hotel Amstelveen",4.1,4,40443,11,"Schiphol repülőtér. Amsterdam (AMS): 6.6",130.461290322581,"avg",175.168028673835,137.256432680785,180,"big"
"59","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Grand Hotel Huis ter Duin",4.2,5,49969,35,"Schiphol repülőtér. Amsterdam (AMS): 23",161.190322580645,"avg",175.168028673835,137.256432680785,180,"big"
"60","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Grand Hotel Karel V",4.6,5,44690,35,"Schiphol repülőtér. Amsterdam (AMS): 35",144.161290322581,"avg",175.168028673835,137.256432680785,180,"big"
"61","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hajé Waterlodge de Aalscholver",3.9,2,14835,37,"Schiphol repülőtér. Amsterdam (AMS): 48",47.8548387096774,"below avg",175.168028673835,137.256432680785,180,"big"
"62","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hampshire Hotel - Lancaster Amsterdam",3.5,3,109308,1.6,"Schiphol repülőtér. Amsterdam (AMS): 13",352.606451612903,"above avg",175.168028673835,137.256432680785,180,"big"
